player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces
Daniil Medvedev,28,5,5030,0.6530612244897959,0.6521739130434783,0.8823529411764706,20,0.7,16,0.6875,8,0.75,5,0.2,0,0,0,0,0.6209469891919712,0.7343555739743058,0.4935418082936778,0.39652567975830816,0.44285714285714284,4.551020408163265,6.73469387755102
Paul Jubb,25,185,311,0.6444444444444445,0.5,1.0,29,0.6206896551724138,0,0.0,14,0.6428571428571429,2,1.0,0,0,0,0,0.6095087163232964,0.7113884555382215,0.49837662337662336,0.41708074534161493,0.41479099678456594,3.7111111111111112,4.222222222222222
Vilius Gaubas,20,186,311,0.5102040816326531,0.6470588235294118,0.6666666666666666,3,0.6666666666666666,44,0.5227272727272727,0,0.0,2,0.0,0,0,0,0,0.6443148688046647,0.6556561085972851,0.4852459016393443,0.39788110653325487,0.4430769230769231,2.0851063829787235,2.5106382978723403
Aleksandar Vukic,28,68,778,0.5510204081632653,0.4,0.7391304347826086,18,0.5,6,0.3333333333333333,17,0.5882352941176471,8,0.75,0,0,0,0,0.5927903871829105,0.7563063063063064,0.5186885245901639,0.3393099701168161,0.4206008583690987,1.7755102040816326,9.857142857142858
Gregoire Barrere,30,162,371,0.5333333333333333,0.6,0.46153846153846156,1,0.0,26,0.5769230769230769,3,0.3333333333333333,15,0.5333333333333333,0,0,0,0,0.6203224825068452,0.678273663560569,0.5424679487179487,0.3786617329633056,0.37666666666666665,1.8888888888888888,3.9555555555555557
James Kent Trotter,25,193,298,0.6938775510204082,0.6666666666666666,0.7333333333333333,29,0.6551724137931034,0,0.0,1,0.0,19,0.7894736842105263,0,0,0,0,0.5769120595817817,0.7755710029791459,0.5192958700067705,0.37893531768746425,0.4358974358974359,3.3469387755102042,8.755102040816327
Sumit Nagal,27,98,622,0.46808510638297873,0.5,0.5294117647058824,16,0.3125,26,0.6153846153846154,1,0.0,4,0.25,0,0,0,0,0.694769059543684,0.632358830596716,0.5150410209662717,0.38832199546485263,0.38972809667673713,1.7872340425531914,1.5319148936170213
Tristan Schoolkate,23,168,345,0.5714285714285714,0.6428571428571429,0.56,36,0.6111111111111112,0,0.0,11,0.5454545454545454,2,0.0,0,0,0,0,0.5820091570158901,0.7542804257288293,0.49742268041237114,0.36752136752136755,0.3493150684931507,3.63265306122449,8.877551020408163
Denis Shapovalov,25,56,981,0.6122448979591837,0.45,0.8,16,0.5625,11,0.45454545454545453,6,0.5,16,0.8125,0,0,0,0,0.5985302123026673,0.7767166894042746,0.5145762711864407,0.3697257383966245,0.42105263157894735,5.854166666666667,7.541666666666667
Ben Shelton,22,21,2330,0.6326530612244898,0.6428571428571429,0.5217391304347826,20,0.65,12,0.6666666666666666,8,0.5,9,0.6666666666666666,0,0,0,0,0.6905217807563427,0.7642980935875217,0.5498839907192575,0.3210742801838858,0.3433962264150943,3.3125,9.583333333333334
